event_id,source_published_date,effective_date,index_name,action,symbol,source_url,source_title
sp500-2025-09-22-addition-eme,2025-09-05,2025-09-22,S&P 500,addition,EME,https://press.spglobal.com/2025-09-05-AppLovin%2C-Robinhood-Markets-and-Emcor-Group-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,"AppLovin, Robinhood Markets and Emcor Group Set to Join S&P 500"
sp500-2025-12-22-addition-crh,2025-12-05,2025-12-22,S&P 500,addition,CRH,https://press.spglobal.com/2025-12-05-CRH%2C-Carvana-and-Comfort-Systems-USA-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"CRH, Carvana and Comfort Systems USA Set to Join S&P 500"
sp500-2025-12-22-addition-cvna,2025-12-05,2025-12-22,S&P 500,addition,CVNA,https://press.spglobal.com/2025-12-05-CRH%2C-Carvana-and-Comfort-Systems-USA-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"CRH, Carvana and Comfort Systems USA Set to Join S&P 500"
sp500-2025-12-22-addition-fix,2025-12-05,2025-12-22,S&P 500,addition,FIX,https://press.spglobal.com/2025-12-05-CRH%2C-Carvana-and-Comfort-Systems-USA-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"CRH, Carvana and Comfort Systems USA Set to Join S&P 500"
sp500-2025-12-22-deletion-lkq,2025-12-05,2025-12-22,S&P 500,deletion,LKQ,https://press.spglobal.com/2025-12-05-CRH%2C-Carvana-and-Comfort-Systems-USA-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"CRH, Carvana and Comfort Systems USA Set to Join S&P 500"
sp500-2025-12-22-deletion-mhk,2025-12-05,2025-12-22,S&P 500,deletion,MHK,https://press.spglobal.com/2025-12-05-CRH%2C-Carvana-and-Comfort-Systems-USA-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"CRH, Carvana and Comfort Systems USA Set to Join S&P 500"
sp500-2025-12-22-deletion-sols,2025-12-05,2025-12-22,S&P 500,deletion,SOLS,https://press.spglobal.com/2025-12-05-CRH%2C-Carvana-and-Comfort-Systems-USA-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"CRH, Carvana and Comfort Systems USA Set to Join S&P 500"
ndx100-2025-12-22-addition-fer,2025-12-12,2025-12-22,Nasdaq-100,addition,FER,https://ir.nasdaq.com/node/109786,Annual Changes to the Nasdaq-100 Index
sp500-2026-04-09-addition-casy,2026-04-06,2026-04-09,S&P 500,addition,CASY,https://press.spglobal.com/2026-04-06-Caseys-General-Stores-Set-to-Join-S-P-500-DigitalOcean-Holdings-to-Join-S-P-MidCap-400-Broadstone-Net-Lease-to-Join-S-P-SmallCap-600,Caseys General Stores Set to Join S&P 500
